month,inflation_rate,Inflation,Energiekosten,Lebenshaltungskosten,news_count
2022-01-01,5.1,61.2,13.2,78.6,312
2022-02-01,5.5,59.75,14.5,79.0,267
2022-03-01,7.6,73.25,47.75,85.5,331
2022-04-01,7.8,72.25,25.0,81.0,372
2022-05-01,8.7,73.0,21.0,72.8,566
2022-06-01,8.2,82.0,21.5,76.5,729
2022-07-01,8.5,70.8,29.4,82.0,722
2022-08-01,8.8,74.75,44.75,85.75,649
2022-09-01,10.9,92.75,60.0,75.5,777
2022-10-01,11.6,73.6,34.2,67.4,682
2022-11-01,11.3,65.5,31.0,63.5,733
2022-12-01,9.6,57.0,25.5,59.25,524
2023-01-01,9.2,58.2,21.2,72.6,482
2023-02-01,9.3,54.0,16.5,74.75,496
2023-03-01,7.8,54.0,15.0,76.25,518
2023-04-01,7.6,43.6,11.6,67.2,402
2023-05-01,6.3,45.75,11.0,68.0,479
2023-06-01,6.8,42.75,7.75,65.5,420
2023-07-01,6.5,37.6,7.4,71.2,389
2023-08-01,6.4,37.75,9.0,78.25,383
2023-09-01,4.3,41.5,9.25,70.25,358
2023-10-01,3.0,41.2,11.0,72.2,368
2023-11-01,2.3,43.5,10.25,67.75,296
2023-12-01,3.8,41.2,9.0,62.4,268
