,time,food_price_index
0,2022-01-01,116.8
1,2022-02-01,118.0
2,2022-03-01,119.0
3,2022-04-01,122.8
4,2022-05-01,125.2
5,2022-06-01,126.5
6,2022-07-01,129.1
7,2022-08-01,131.0
8,2022-09-01,133.2
9,2022-10-01,134.9
10,2022-11-01,136.6
11,2022-12-01,137.6
12,2023-01-01,139.7
13,2023-02-01,143.0
14,2023-03-01,144.9
15,2023-04-01,144.2
16,2023-05-01,144.0
17,2023-06-01,144.0
18,2023-07-01,143.7
19,2023-08-01,143.2
20,2023-09-01,143.9
21,2023-10-01,144.0
22,2023-11-01,144.9
23,2023-12-01,145.0
24,2024-01-01,146.3
25,2024-02-01,146.0
26,2024-03-01,145.7
27,2024-04-01,146.5
28,2024-05-01,146.3
29,2024-06-01,146.7
30,2024-07-01,146.8
31,2024-08-01,146.7
32,2024-09-01,147.4
33,2024-10-01,148.5
34,2024-11-01,148.7
35,2024-12-01,149.0
