,month,inflation_rate
300,2022-01-01,5.1
301,2022-02-01,5.5
302,2022-03-01,7.6
303,2022-04-01,7.8
304,2022-05-01,8.7
305,2022-06-01,8.2
306,2022-07-01,8.5
307,2022-08-01,8.8
308,2022-09-01,10.9
309,2022-10-01,11.6
310,2022-11-01,11.3
311,2022-12-01,9.6
312,2023-01-01,9.2
313,2023-02-01,9.3
314,2023-03-01,7.8
315,2023-04-01,7.6
316,2023-05-01,6.3
317,2023-06-01,6.8
318,2023-07-01,6.5
319,2023-08-01,6.4
320,2023-09-01,4.3
321,2023-10-01,3.0
322,2023-11-01,2.3
323,2023-12-01,3.8
324,2024-01-01,3.1
325,2024-02-01,2.7
326,2024-03-01,2.3
327,2024-04-01,2.4
328,2024-05-01,2.8
329,2024-06-01,2.5
330,2024-07-01,2.6
331,2024-08-01,2.0
332,2024-09-01,1.8
333,2024-10-01,2.4
334,2024-11-01,2.4
335,2024-12-01,2.8
