month,index,Inflation,Energiekosten,Lebenshaltungskosten
2021-12,0.0,43.0,8.0,63.0
2022-01,3.0,62.8,12.6,81.0
2022-02,7.5,57.25,13.5,80.0
2022-03,11.5,72.0,47.75,87.5
2022-04,15.5,73.5,25.0,82.25
2022-05,20.0,73.2,21.0,76.4
2022-06,24.5,83.25,20.75,79.25
2022-07,29.0,71.2,28.6,83.2
2022-08,33.5,73.5,44.25,87.75
2022-09,37.5,88.75,58.25,77.75
2022-10,42.0,74.6,32.6,68.8
2022-11,46.5,67.5,30.75,62.75
2022-12,50.5,55.75,25.25,62.75
2023-01,55.0,58.8,20.4,75.4
2023-02,59.5,55.0,16.25,76.75
2023-03,63.5,56.25,15.0,76.0
2023-04,68.0,44.2,11.8,69.6
2023-05,72.5,46.75,10.5,71.0
2023-06,76.5,44.25,7.75,67.25
2023-07,81.0,38.0,7.6,72.6
2023-08,85.5,38.0,9.0,80.75
2023-09,89.5,42.25,9.0,74.0
2023-10,94.0,41.8,11.4,74.6
2023-11,98.5,44.0,10.5,69.75
2023-12,103.0,42.2,9.0,62.2
2024-01,107.5,46.0,9.5,84.0
2024-02,111.5,42.0,10.25,75.0
2024-03,116.0,38.8,8.8,69.6
2024-04,120.5,36.25,8.75,65.0
2024-05,124.5,33.25,5.25,61.0
2024-06,129.0,30.0,6.0,68.4
2024-07,133.5,30.0,5.25,69.5
2024-08,137.5,29.5,7.25,70.25
2024-09,142.0,31.8,7.8,65.4
2024-10,146.5,33.5,8.25,66.25
2024-11,150.5,42.0,10.0,64.0
2024-12,155.0,32.6,7.8,68.4
